frequency,f3,f4,f5,c8
74.131004,0.2,-0.999999999999999,-1.00E-04,
75.857734,0.2,-1,-1.00E-04,
77.62469,0.2,-1,-1.00E-04,
79.432792,0.2,-1,-1.00E-04,
81.28303,0.2,-1,-1.00E-04,
83.17635,0.2,-1,-1.00E-04,
85.11377,0.2,-1,-1.00E-04,
87.096321,0.2,-1,-1.00E-04,
89.1251,0.2,-1,-1.00E-04,
91.2011,0.2,-1,-1.00E-04,
93.32544,0.2,-1,-1.00E-04,
95.49926,0.2,-0.999999999999999,-1.00E-04,
97.723724,0.2,-1,-1.00E-04,
100,0.2,-1,-1.00E-04,
